City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
Hirara,24.8,125.28,68.0,94,75,20.8,JP,1587884209
Halifax,44.65,-63.57,39.2,48,20,5.82,CA,1587884023
Omboué,-1.57,9.26,76.24,91,99,3.65,GA,1587884209
Avera,33.19,-82.53,66.2,77,1,6.93,US,1587884209
Lebu,-37.62,-73.65,53.82,90,22,7.83,CL,1587884210
Porirua,-41.13,174.85,60.8,77,48,18.34,NZ,1587884210
Sainte-Martine,45.25,-73.8,44.01,48,40,11.41,CA,1587884210
Reitz,-27.8,28.43,53.64,49,35,10.16,ZA,1587884210
Ancud,-41.87,-73.82,51.8,100,86,4.7,CL,1587884075
Port Lincoln,-34.73,135.87,62.04,60,12,10.87,AU,1587884211
Abu Dhabi,24.47,54.37,105.8,27,0,12.75,AE,1587884211
Bosaso,11.28,49.18,87.6,61,17,5.61,SO,1587884211
Narsaq,60.92,-46.05,30.2,80,82,4.47,GL,1587884211
Haines Junction,60.75,-137.51,26.38,81,98,5.28,CA,1587884211
Shahrud,36.42,54.98,70.43,25,100,4.38,IR,1587884211
João Câmara,-5.54,-35.82,75.2,100,40,3.36,BR,1587884212
Voyvozh,62.89,54.96,31.6,89,97,7.43,RU,1587884212
Almaznyy,48.04,40.05,59.0,47,2,6.71,RU,1587884212
Iqaluit,63.75,-68.51,19.4,85,75,3.36,CA,1587884213
Igarka,67.47,86.58,31.78,96,23,14.16,RU,1587884213
Bereket,39.24,55.52,83.48,31,70,9.22,TM,1587884213
Tuam,53.52,-8.85,48.0,99,90,5.01,IE,1587884213
Arman',59.7,150.17,35.06,84,51,3.29,RU,1587884213
Salé,34.04,-6.82,57.0,100,40,9.17,MA,1587883933
Sabana de Torres,7.39,-73.5,74.7,87,95,0.76,CO,1587884214
Katobu,-4.94,122.53,84.69,71,98,2.73,ID,1587884214
Guerrero Negro,27.98,-114.06,67.57,65,0,12.15,MX,1587884098
Port Elizabeth,-33.92,25.57,64.4,77,20,18.34,ZA,1587884214
Baculin,7.45,126.58,82.76,79,94,7.18,PH,1587884215
Trincomalee,8.57,81.23,91.8,54,82,5.95,LK,1587884215
Majene,-3.54,118.97,84.97,62,100,3.38,ID,1587884215
Sabang,5.89,95.32,84.38,68,89,1.72,ID,1587884215
Kandé,9.96,1.04,75.2,73,20,6.93,TG,1587884215
Tanete,-3.94,119.78,80.82,80,100,6.62,ID,1587884216
Andros Town,24.7,-77.77,80.6,88,73,8.05,BS,1587884216
Seoul,37.57,126.98,66.2,22,1,6.93,KR,1587884070
Champerico,14.3,-91.92,82.92,71,46,5.41,GT,1587884216
Cap Malheureux,-19.98,57.61,84.0,78,0,3.0,MU,1587884216
West Bay,19.37,-81.42,82.0,75,9,1.99,KY,1587884216
Luan,46.36,6.98,57.2,76,75,2.24,CH,1587884217
Smithers,54.78,-127.17,42.8,60,90,10.29,CA,1587884217
Muisne,0.6,-80.03,77.13,84,85,7.87,EC,1587884217
Zhongshu,24.52,103.77,63.23,30,99,5.06,CN,1587884217
Kaoma,-14.78,24.8,65.12,49,25,4.65,ZM,1587884217
Bodden Town,19.28,-81.25,82.0,76,4,5.99,KY,1587884218
Tazovsky,67.47,78.7,26.55,96,1,10.74,RU,1587884218
Seguin,29.57,-97.96,63.0,67,1,6.93,US,1587884218
Peniche,39.36,-9.38,55.0,89,76,3.0,PT,1587884218
Ouargaye,11.5,0.06,87.53,45,63,10.96,BF,1587884218
Korla,41.76,86.15,77.13,11,0,1.7,CN,1587884219
Oddur,4.12,43.89,81.79,56,70,11.43,SO,1587884219
Shelburne,44.08,-80.2,45.0,59,1,6.85,CA,1587884219
Vung Tau,10.35,107.08,89.74,58,56,18.39,VN,1587884219
Balaipungut,1.05,101.28,91.4,59,75,3.56,ID,1587884219
Tūkrah,32.53,20.58,64.96,51,51,3.53,LY,1587884220
Barra de Tecoanapa,16.52,-98.75,75.54,67,93,3.67,MX,1587884220
Maceió,-9.67,-35.74,75.2,100,75,6.93,BR,1587884004
Puerto Ayacucho,5.66,-67.62,76.66,82,89,3.44,VE,1587884220
Gijang,35.24,129.21,68.0,20,36,6.93,KR,1587884221
Gorom-Gorom,14.44,-0.24,84.6,16,44,11.36,BF,1587884221
Guánica,17.97,-66.91,78.01,65,0,1.01,PR,1587884221
Mahébourg,-20.41,57.7,82.4,78,20,4.7,MU,1587884221
Dromolaxia,34.88,33.59,68.0,68,20,4.7,CY,1587884222
Laas,46.62,10.7,41.0,93,40,3.36,IT,1587884222
Pavlovo,55.97,43.09,39.2,86,90,4.47,RU,1587884160
Talnakh,69.49,88.4,30.2,74,40,15.66,RU,1587884222
Ipixuna,-1.76,-48.8,77.0,94,75,6.93,BR,1587884222
Makakilo City,21.35,-158.09,75.2,73,20,4.7,US,1587884223
Verkhoyansk,67.54,133.38,38.46,76,73,9.51,RU,1587884223
Altay,47.87,88.12,74.17,12,42,7.43,CN,1587884223
Sitka,57.05,-135.33,46.4,70,75,9.17,US,1587884223
Biłgoraj,50.54,22.72,48.99,62,27,5.01,PL,1587884223
Vardø,70.37,31.11,33.91,87,100,26.49,NO,1587884224
Taltal,-25.4,-70.48,62.1,68,0,3.36,CL,1587884224
Porto Walter,-8.27,-72.74,73.0,89,50,1.9,BR,1587884224
Victor Harbor,-35.57,138.62,62.01,66,38,1.99,AU,1587884224
Port Blair,11.67,92.75,86.4,70,77,6.76,IN,1587883934
Wawa,9.9,4.42,80.64,57,100,8.99,NG,1587884224
Harnai,30.1,67.94,87.39,13,0,6.91,PK,1587884225
Idrinskoye,54.37,92.14,55.54,59,100,4.12,RU,1587884225
Diplo,24.47,69.58,100.65,25,0,15.77,PK,1587884225
Adolfo López Mateos,28.47,-107.3,55.99,39,2,5.01,MX,1587884225
Westport,41.14,-73.36,48.2,81,1,5.82,US,1587884225
Lerwick,60.15,-1.15,44.6,93,97,1.12,GB,1587884226
Belsand,26.45,85.4,92.21,33,51,14.5,IN,1587884226
Nome,64.5,-165.41,33.8,74,1,8.05,US,1587884226
Fenoarivo,-18.93,47.44,71.6,73,40,3.36,MG,1587884226
Zuwārah,32.93,12.08,70.27,55,5,11.25,LY,1587884226
Wanning,18.8,110.4,78.46,73,62,10.2,CN,1587884227
Walvis Bay,-22.96,14.51,55.0,93,90,3.36,NA,1587884227
Upington,-28.45,21.26,60.8,77,1,2.24,ZA,1587884227
Bārmer,25.75,71.38,97.11,22,0,8.14,IN,1587884227
Coyhaique,-45.58,-72.07,45.16,74,100,2.24,CL,1587884227
São Filipe,14.9,-24.5,70.74,77,43,14.03,CV,1587884228
Ostrovnoy,68.05,39.51,31.78,95,96,11.61,RU,1587884228
Sirte,31.21,16.59,69.53,51,73,21.09,LY,1587884228
Balakhta,55.38,91.6,57.2,51,100,1.34,RU,1587884228
Ternate,0.8,127.4,83.73,76,94,1.66,ID,1587884228
Tayu,-6.54,111.05,87.12,63,100,9.31,ID,1587884229
Huntsville,34.73,-86.59,55.4,66,75,12.75,US,1587884229
Kichera,55.94,110.1,55.08,40,99,5.88,RU,1587884229
Norman Wells,65.28,-126.83,3.2,65,5,2.24,CA,1587884229
Tadine,-21.55,167.88,74.46,75,73,16.58,NC,1587884229
Antofagasta,-23.65,-70.4,60.8,87,75,3.36,CL,1587884230
Severo-Kuril'sk,50.68,156.12,34.81,84,18,2.33,RU,1587884230
Mirandola,44.89,11.07,60.01,76,11,1.99,IT,1587884230
Ylöjärvi,61.56,23.6,37.99,74,35,3.36,FI,1587884230
Malaba,0.63,34.28,73.17,53,69,4.5,KE,1587884230
Khudumelapye,-23.88,24.75,67.12,30,30,10.87,BW,1587884231
Cam Ranh,11.92,109.16,91.4,66,20,20.8,VN,1587883996
Mushie,-3.02,16.9,72.91,86,89,5.48,CD,1587884231
Banda Aceh,5.56,95.32,84.92,72,91,2.55,ID,1587884011
Sibolga,1.74,98.78,84.76,66,95,2.51,ID,1587884231
Tatishchevo,51.67,45.6,54.41,58,46,16.17,RU,1587884232
Cayenne,4.93,-52.33,77.0,100,100,3.36,GF,1587884232
Yinchuan,38.47,106.27,77.11,9,0,14.92,CN,1587884232
Berdigestyakh,62.1,126.7,46.02,62,87,7.29,RU,1587884233
Ugoofaaru,5.67,73.0,85.86,72,16,9.22,MV,1587884234
Sault Ste. Marie,46.52,-84.33,41.0,56,1,4.7,CA,1587884234
Verāval,20.9,70.37,91.24,47,82,8.95,IN,1587884234
Payson,40.04,-111.73,57.0,54,1,5.82,US,1587884171
Kaitangata,-46.28,169.85,52.0,83,91,1.99,NZ,1587884234
Saint-Augustin,51.23,-58.65,28.96,93,6,10.49,CA,1587884234
Vanimo,-2.67,141.3,85.95,71,57,7.4,PG,1587884235
Hobyo,5.35,48.53,86.68,64,62,7.7,SO,1587884235
Leningradskiy,69.38,178.42,20.08,96,85,9.04,RU,1587884235
Vao,-22.67,167.48,74.52,69,7,14.61,NC,1587884235
Palmeira,-25.43,-50.01,56.16,71,0,0.98,BR,1587884235
Swan Hill,-35.34,143.55,66.65,56,81,13.33,AU,1587884236
Kajansi,0.21,32.52,72.1,57,90,10.56,UG,1587884236
Bambous Virieux,-20.34,57.76,84.0,78,20,4.7,MU,1587884236
Biltine,14.53,20.92,92.64,8,86,20.07,TD,1587884236
Rūjiena,57.9,25.33,40.41,65,2,6.55,LV,1587884236
Sladkovo,55.53,70.34,60.03,32,11,19.77,RU,1587884237
Krasnosel'kup,65.7,82.47,35.22,84,69,12.24,RU,1587884237
Kushima,31.46,131.23,71.6,33,75,19.46,JP,1587884237
Bako,5.78,36.57,63.61,67,100,2.62,ET,1587884237
Ji’an,27.12,114.98,78.04,41,81,2.93,CN,1587884237
Yate,51.54,-2.42,50.0,71,11,4.7,GB,1587884133
Radovitskiy,55.13,39.8,45.0,74,100,7.65,RU,1587884238
Puerto Madryn,-42.77,-65.04,53.74,83,61,12.01,AR,1587884238
Ciudad Bolivar,8.12,-63.55,77.11,73,85,12.24,VE,1587884238
Takoradze,4.88,-1.76,80.29,84,93,7.76,GH,1587884238
Aklavik,68.22,-135.01,8.6,50,5,6.93,CA,1587884239
Tilichiki,60.47,166.1,25.56,96,69,4.43,RU,1587884239
Bilibino,68.05,166.44,29.1,91,100,3.4,RU,1587884239
Nizwá,22.93,57.53,93.74,11,0,5.57,OM,1587884239
Matamoros,25.53,-103.25,75.0,56,25,10.71,MX,1587884239
Narasannapeta,18.42,84.05,90.52,63,45,11.52,IN,1587884240
Bida,9.08,6.02,81.1,73,91,4.38,NG,1587884240
Behbahān,30.6,50.24,84.2,28,75,9.17,IR,1587884240
Shingū,33.73,135.98,66.2,72,75,8.05,JP,1587884240
Zyryanka,65.75,150.85,32.41,96,87,10.98,RU,1587884241
Flinders,-34.58,150.86,72.0,61,100,5.99,AU,1587884241
Elizabeth City,36.29,-76.25,55.99,93,90,5.82,US,1587884241
High Level,58.52,-117.14,19.4,92,90,18.34,CA,1587884241
Polson,47.69,-114.16,50.0,73,100,8.01,US,1587884241
Sistranda,63.73,8.83,39.2,86,75,6.93,NO,1587884241
Christchurch,-43.53,172.63,57.0,93,97,9.17,NZ,1587884242
Senador José Porfírio,-2.59,-51.95,73.74,95,80,1.3,BR,1587884242
Asbury Park,40.22,-74.01,48.99,100,90,5.82,US,1587884242
Lima,-12.04,-77.03,69.8,83,75,9.17,PE,1587884107
Indramayu,-6.33,108.32,87.26,63,47,6.58,ID,1587884242
Waingapu,-9.66,120.26,86.14,62,86,11.32,ID,1587884243
São Gotardo,-19.31,-46.05,60.01,100,6,2.46,BR,1587884243
Mayumba,-3.43,10.66,77.09,87,100,6.8,GA,1587884243
Wewak,-3.55,143.63,85.3,69,58,6.82,PG,1587884243
Namatanai,-3.67,152.43,84.31,74,58,8.28,PG,1587884243
Nioro,13.35,-15.75,75.67,31,84,7.27,GM,1587884244
La Tijera,19.9,-104.4,61.2,37,83,0.96,MX,1587884244
Beni Suef,29.07,31.1,65.91,51,0,3.76,EG,1587884244
Ligayan,4.65,119.47,84.33,70,69,3.31,PH,1587884244
Palu,-0.89,119.87,79.65,82,100,1.19,ID,1587884244
Bad Doberan,54.11,11.9,46.4,87,75,6.93,DE,1587884245
Ippy,6.27,21.22,80.67,52,9,3.76,CF,1587884245
Los Llanos de Aridane,28.66,-17.92,60.8,72,20,8.05,ES,1587884245
Adrar,20.5,-10.07,72.05,19,0,11.39,MR,1587884245
Astoria,46.19,-123.83,51.01,93,75,5.37,US,1587884246
Morgan City,29.7,-91.21,68.0,82,20,6.93,US,1587884246
Kitimat,54.05,-128.65,42.8,87,75,17.22,CA,1587884246
Tutóia,-2.76,-42.27,77.63,82,95,3.44,BR,1587884246
Mimongo,-1.62,11.61,69.04,80,100,2.35,GA,1587884246
Yerbogachën,61.28,108.01,48.38,46,91,10.07,RU,1587884247
Nhulunbuy,-12.23,136.77,87.8,58,40,13.87,AU,1587884247
Verkhozim,52.71,45.42,53.91,55,83,17.87,RU,1587884247
Loncoche,-39.37,-72.63,51.8,100,40,2.55,CL,1587884248
Eldorado,-23.79,-54.28,69.33,84,1,4.97,BR,1587884248
Isiro,2.77,27.62,75.76,63,83,2.33,CD,1587884248
Qūchān,37.11,58.51,74.86,21,43,14.5,IR,1587884248
Lidköping,58.51,13.16,46.99,100,43,8.05,SE,1587884248
Rio Grande,-32.03,-52.1,68.0,95,100,13.24,BR,1587884248
Kinna,57.51,12.69,42.01,100,90,9.17,SE,1587884249
León,21.12,-101.67,71.6,49,75,4.7,MX,1587884198
Kasongo-Lunda,-6.47,16.82,71.38,79,92,1.19,CD,1587884250
Kalmunai,7.42,81.82,90.05,57,49,4.21,LK,1587884250
Marabba,12.35,32.18,92.55,9,0,12.84,SD,1587884250
Tefé,-3.35,-64.71,73.9,91,84,2.13,BR,1587884250
Omsukchan,62.53,155.8,29.59,81,100,5.06,RU,1587884250
Sandusky,41.35,-83.13,45.0,81,90,18.34,US,1587884251
Wajir,1.75,40.06,80.55,64,86,8.95,KE,1587884251
Gushikawa,26.35,127.87,60.8,93,90,14.99,JP,1587884251
Eydhafushi,5.1,73.07,85.5,72,12,9.33,MV,1587884251
Saint John,45.27,-66.07,28.99,92,5,4.7,CA,1587884251
Kulhudhuffushi,6.62,73.07,85.91,71,61,6.44,MV,1587884252
Sterlibashevo,53.44,55.26,53.73,44,40,17.9,RU,1587884252
Ixtapa,20.7,-105.2,64.4,82,5,4.09,MX,1587884252
Ahipara,-35.17,173.17,63.21,79,22,6.31,NZ,1587884252
Viedma,-40.81,-63.0,57.4,80,60,11.59,AR,1587884253
Mogadishu,2.04,45.34,83.75,76,95,10.27,SO,1587884253
Grand Gaube,-20.01,57.66,84.0,78,0,3.0,MU,1587884253
Mets Masrik,40.22,45.77,43.2,41,96,2.93,AM,1587884253
Asău,46.43,26.4,55.4,55,20,18.34,RO,1587884253
Chapais,49.78,-74.85,24.8,58,75,3.36,CA,1587884254
Clyde River,70.47,-68.59,14.0,85,40,3.36,CA,1587884254
Colac,-38.33,143.58,57.0,76,72,1.01,AU,1587884254
Kharan,28.58,65.42,92.5,10,0,6.96,PK,1587884254
Atambua,-9.11,124.89,81.19,60,83,3.02,ID,1587884254
Anadyr,64.75,177.48,19.4,85,75,13.42,RU,1587884255
Dunhua,43.37,128.24,45.97,45,92,7.36,CN,1587884255
Tavda,58.04,65.27,55.0,58,100,10.92,RU,1587884255
Pangkalanbuun,-2.68,111.62,90.16,61,56,2.21,ID,1587884255
Riverbank,37.74,-120.94,66.99,71,100,3.0,US,1587884255
Bijapur,16.83,75.7,95.63,14,37,7.58,IN,1587884256
Vetluzhskiy,58.39,45.47,40.93,62,16,3.27,RU,1587884256
Klaksvík,62.23,-6.59,42.8,81,94,2.24,FO,1587884256
Mahabalipuram,12.63,80.17,78.8,94,75,11.41,IN,1587884256
Nampula,-15.12,39.27,72.5,68,4,5.86,MZ,1587884115
Itoman,26.12,127.67,60.8,93,75,24.16,JP,1587884256
Back Mountain,41.34,-76.0,51.8,32,90,5.82,US,1587884052
Wuwei,37.93,102.64,71.19,8,0,6.96,CN,1587884257
Alofi,-19.06,-169.92,78.8,94,66,1.12,NU,1587884257
Grajaú,-5.82,-46.14,72.27,90,86,2.86,BR,1587884257
Nurota,40.56,65.69,84.2,30,5,9.17,UZ,1587884257
Boueni,-12.9,45.08,89.6,62,20,9.17,YT,1587884258
Beisfjord,68.38,17.6,35.6,80,98,16.11,NO,1587884258
Giyani,-23.3,30.72,68.04,71,93,9.22,ZA,1587884258
Samandağ,36.08,35.98,68.0,64,20,5.82,TR,1587884258
Örnsköldsvik,63.29,18.72,37.4,59,8,8.05,SE,1587883992
Bunbury,-33.33,115.63,72.0,39,0,7.61,AU,1587884258
Kondinskoye,59.65,67.41,51.21,54,70,16.73,RU,1587884259
Mentakab,3.49,102.35,92.79,50,87,3.44,MY,1587884259
Vestmannaeyjar,63.44,-20.27,42.98,82,91,3.69,IS,1587884259
Kieta,-6.22,155.63,83.75,71,27,3.04,PG,1587884259
Mahoba,25.28,79.87,98.6,39,15,3.36,IN,1587884260
Tibati,6.47,12.63,70.99,70,60,3.24,CM,1587884260
Batavia,41.85,-88.31,44.01,70,1,10.29,US,1587883982
Santiago,-33.46,-70.65,51.8,81,55,1.43,CL,1587884007
Birjand,32.87,59.22,82.4,13,0,9.17,IR,1587884260
Sainte-Rose,16.33,-61.7,77.0,73,75,8.05,GP,1587884260
Ibanda,-2.8,32.47,75.2,73,20,6.93,TZ,1587884261
Blackwater,-23.58,148.88,81.84,32,0,8.34,AU,1587884261
Lompoc,34.64,-120.46,59.0,87,1,3.36,US,1587883972
Safaga,26.73,33.94,75.2,36,0,11.41,EG,1587884261
George,-33.96,22.46,59.0,87,0,2.24,ZA,1587884262
Wamba,8.93,8.6,75.11,76,99,1.7,NG,1587884262
Penápolis,-21.42,-50.08,65.97,76,12,6.04,BR,1587884262
Puerto Pailas,-17.67,-62.79,75.2,94,75,2.24,BO,1587884262
Djibo,14.1,-1.63,84.31,16,81,7.34,BF,1587884262
Tonj,7.27,28.68,87.1,41,0,5.41,SS,1587884262
Andrelândia,-21.74,-44.31,54.99,69,2,1.57,BR,1587884263
Awjilah,29.11,21.29,72.19,32,31,8.95,LY,1587884263
Lüleburgaz,41.4,27.36,59.0,58,1,8.05,TR,1587884263
Destin,30.39,-86.5,71.6,56,1,14.99,US,1587884263
Porto Belo,-27.16,-48.55,73.0,76,60,5.39,BR,1587884264
Caravelas,-17.71,-39.25,76.24,81,39,16.96,BR,1587884264
Kloulklubed,7.04,134.26,87.8,66,75,13.87,PW,1587884264
Neryungri,56.67,124.65,41.43,47,37,4.14,RU,1587884264
Micheweni,-4.97,39.83,81.84,81,100,15.26,TZ,1587884264
Sorong,-0.88,131.25,84.96,80,61,4.7,ID,1587884265
Kourou,5.16,-52.65,77.0,100,100,3.36,GF,1587884265
Tautira,-17.73,-149.15,80.6,74,20,16.11,PF,1587884265
Buritis,-15.62,-46.42,63.75,76,15,2.84,BR,1587884265
Bintulu,3.17,113.03,89.6,79,75,8.05,MY,1587884266
Mezen',65.85,44.24,31.66,97,96,9.64,RU,1587884266
Capreol,46.71,-80.92,39.0,47,5,10.29,CA,1587884266
Tezu,27.92,96.17,89.38,28,7,4.38,IN,1587884266
Koróni,36.8,21.95,63.0,81,75,5.82,GR,1587884267
Dali,25.7,100.18,55.11,37,97,4.03,CN,1587884267
Lata,40.16,-8.33,52.0,92,56,1.01,PT,1587884267
São João da Barra,-21.64,-41.05,72.19,81,3,4.94,BR,1587884267
Tessalit,20.2,1.01,80.13,17,89,8.21,ML,1587884267
Mosquera,4.71,-74.23,50.0,93,40,5.82,CO,1587884268
Darhan,49.49,105.92,71.73,27,33,5.28,MN,1587884268
Robinsonville,31.47,-97.11,59.0,87,1,3.98,US,1587884194
Hachinohe,40.5,141.5,59.0,51,75,17.22,JP,1587884268
Vehari,30.03,72.35,96.4,19,0,6.87,PK,1587884268
Buşayrā,30.74,35.61,50.11,55,44,7.58,JO,1587884269
Ambilobe,-13.2,49.05,85.82,68,8,1.99,MG,1587884048
Shenzhen,22.55,114.07,82.99,57,94,11.18,CN,1587883908
Bindi,9.92,-11.45,72.39,75,82,1.54,SL,1587884269
Hervey Bay,-25.3,152.85,77.0,63,1,4.0,AU,1587884269
Belyy Yar,53.6,91.39,50.0,71,100,11.18,RU,1587884270
Acarí,-15.43,-74.62,69.75,64,28,3.56,PE,1587884270
Springville,40.17,-111.61,57.0,54,1,5.82,US,1587884270
São Francisco,-15.95,-44.86,64.53,78,1,3.49,BR,1587884270
Mel'nikovo,56.56,84.08,60.01,31,0,3.0,RU,1587884271
Yerofey Pavlovich,53.97,121.97,54.57,29,0,7.0,RU,1587884271
Huangcun,30.01,118.4,78.01,48,91,8.5,CN,1587884271
Meadow Lake,34.8,-106.54,57.99,16,40,1.23,US,1587884271
Gboko,7.32,9.0,76.26,82,100,10.29,NG,1587884271
